round,date,min_since_start,ss,direction,speed
2,9/17/2015,115,10,296,1
2,9/17/2015,115,15,296,0.9
2,9/17/2015,115,20,296,1
2,9/17/2015,115,25,296,0.3
2,9/17/2015,115,30,296,0
2,9/17/2015,115,35,296,0
2,9/17/2015,120,40,296,0
2,9/17/2015,120,45,296,0
2,9/17/2015,120,0,292,0
2,9/17/2015,120,5,292,0.2
2,9/17/2015,120,10,292,1.5
2,9/17/2015,120,15,292,1.1
2,9/17/2015,120,20,292,0
2,9/17/2015,120,25,292,0
2,9/17/2015,120,30,292,0
2,9/17/2015,125,35,292,0
2,9/17/2015,125,40,292,1.4
2,9/17/2015,125,45,292,0.3
2,9/17/2015,125,0,292,0
2,9/17/2015,125,5,292,0
2,9/17/2015,125,10,292,0
2,9/17/2015,125,15,292,0
2,9/17/2015,125,20,292,0
2,9/17/2015,125,25,292,0
2,9/17/2015,130,30,292,0
2,9/17/2015,130,35,292,0
2,9/17/2015,130,40,292,0
2,9/17/2015,130,45,292,0
2,9/17/2015,130,0,292,0
2,9/17/2015,130,5,292,0
2,9/17/2015,130,10,292,0
2,9/17/2015,130,15,292,0
2,9/17/2015,130,20,292,0
2,9/17/2015,135,25,292,0
2,9/17/2015,135,30,292,0
2,9/17/2015,135,35,292,0
2,9/17/2015,135,40,292,0
2,9/17/2015,135,45,292,0
2,9/17/2015,135,0,280,0
2,9/17/2015,135,5,280,0.4
2,9/17/2015,135,10,280,0
2,9/17/2015,135,15,280,0.1
2,9/17/2015,140,20,280,0.4
2,9/17/2015,140,25,280,0
2,9/17/2015,140,30,280,0
2,9/17/2015,140,35,280,0
2,9/17/2015,140,40,280,0.8
2,9/17/2015,140,45,280,0.3
2,9/17/2015,140,0,103,0
2,9/17/2015,140,5,103,0
2,9/17/2015,140,10,103,0
2,9/17/2015,145,15,103,1
2,9/17/2015,145,20,103,0
2,9/17/2015,145,25,103,0
2,9/17/2015,145,30,103,0.2
2,9/17/2015,145,35,103,1.2
2,9/17/2015,145,40,103,1.3
2,9/17/2015,145,45,103,0.2
2,9/17/2015,145,0,307,2.1
2,9/17/2015,145,5,307,2.6
2,9/17/2015,150,10,307,2.3
2,9/17/2015,150,15,307,3.7
2,9/17/2015,150,20,307,1.5
2,9/17/2015,150,25,307,1.6
2,9/17/2015,150,30,307,1
2,9/17/2015,150,35,307,2.5
2,9/17/2015,150,40,307,0.4
2,9/17/2015,150,45,307,0
2,9/17/2015,150,0,305,1.5
2,9/17/2015,155,5,305,1.3
2,9/17/2015,155,10,305,1.1
2,9/17/2015,155,15,305,0.9
2,9/17/2015,155,20,305,1
2,9/17/2015,155,25,305,1.5
2,9/17/2015,155,30,305,1.2
2,9/17/2015,155,35,305,1.2
2,9/17/2015,155,40,305,1.5
2,9/17/2015,155,45,305,1.2
2,9/17/2015,160,0,293,0.1
2,9/17/2015,160,5,293,0
2,9/17/2015,160,10,293,0
2,9/17/2015,160,15,293,0.7
2,9/17/2015,160,20,293,1
2,9/17/2015,160,25,293,0
2,9/17/2015,160,30,293,0
2,9/17/2015,160,35,293,0
2,9/17/2015,160,40,293,0
2,9/17/2015,165,45,293,0.4
1,9/16/2015,5,0,200,0.1
1,9/16/2015,5,5,200,0.2
1,9/16/2015,5,10,200,0.3
1,9/16/2015,5,15,200,0.9
1,9/16/2015,5,20,200,0.3
1,9/16/2015,5,25,200,0.2
1,9/16/2015,5,30,200,0
1,9/16/2015,5,35,200,0
1,9/16/2015,5,40,200,1.4
1,9/16/2015,5,45,210,0
1,9/16/2015,10,0,210,0
1,9/16/2015,10,5,210,0.7
1,9/16/2015,10,10,210,0.1
1,9/16/2015,10,15,210,0.2
1,9/16/2015,10,20,210,0.2
1,9/16/2015,10,25,210,0.1
1,9/16/2015,10,30,210,0.2
1,9/16/2015,10,35,210,0.1
1,9/16/2015,10,40,210,0.4
1,9/16/2015,15,45,210,
1,9/16/2015,15,0,230,0.3
1,9/16/2015,15,5,230,0.5
1,9/16/2015,15,10,230,0.8
1,9/16/2015,15,15,230,0.3
1,9/16/2015,15,20,230,0.2
1,9/16/2015,15,25,230,0
1,9/16/2015,15,30,230,0
1,9/16/2015,15,35,230,0
1,9/16/2015,20,40,230,0
1,9/16/2015,20,45,230,0
1,9/16/2015,20,0,209,0
1,9/16/2015,20,5,209,0
1,9/16/2015,20,10,209,0
1,9/16/2015,20,15,209,0
1,9/16/2015,20,20,209,0
1,9/16/2015,20,25,209,0
1,9/16/2015,20,30,209,0
1,9/16/2015,25,35,209,0
1,9/16/2015,25,40,209,0
1,9/16/2015,25,45,209,0
1,9/16/2015,25,0,187,0
1,9/16/2015,25,5,187,0
1,9/16/2015,25,10,187,0
1,9/16/2015,25,15,187,0
1,9/16/2015,25,20,187,0
1,9/16/2015,25,25,187,0
1,9/16/2015,30,30,187,0
1,9/16/2015,30,35,187,0
1,9/16/2015,30,40,187,0
1,9/16/2015,30,45,187,0
1,9/16/2015,30,0,210,1
1,9/16/2015,30,5,210,1.2
1,9/16/2015,30,10,210,0.3
1,9/16/2015,30,15,210,0
1,9/16/2015,30,20,210,1.1
1,9/16/2015,35,25,210,0.3
1,9/16/2015,35,30,210,0
1,9/16/2015,35,35,210,0
1,9/16/2015,35,40,210,0
1,9/16/2015,35,45,210,
1,9/16/2015,35,0,215,0
1,9/16/2015,35,5,215,0
1,9/16/2015,35,10,215,0
1,9/16/2015,35,15,215,0.2
1,9/16/2015,40,20,215,0.1
1,9/16/2015,40,25,215,0
1,9/16/2015,40,30,215,0
1,9/16/2015,40,35,215,0
1,9/16/2015,40,40,215,0
1,9/16/2015,40,45,215,0
1,9/16/2015,40,0,205,0
1,9/16/2015,40,5,205,0
1,9/16/2015,40,10,205,0
1,9/16/2015,45,15,205,0
1,9/16/2015,45,20,205,0
1,9/16/2015,45,25,205,0
1,9/16/2015,45,30,205,0
1,9/16/2015,45,35,205,0
1,9/16/2015,45,40,205,0
1,9/16/2015,45,45,205,0
1,9/16/2015,45,0,215,0
1,9/16/2015,45,5,215,0
1,9/16/2015,50,10,215,0
1,9/16/2015,50,15,215,0
1,9/16/2015,50,20,215,0
1,9/16/2015,50,25,215,0
1,9/16/2015,50,30,215,0
1,9/16/2015,50,35,215,0
1,9/16/2015,50,40,215,0
1,9/16/2015,50,45,215,0
1,9/16/2015,50,0,205,0.1
1,9/16/2015,55,5,205,0.3
1,9/16/2015,55,10,205,0.5
1,9/16/2015,55,15,205,1.2
1,9/16/2015,55,20,205,1.2
1,9/16/2015,55,25,205,1
1,9/16/2015,55,30,205,0.2
1,9/16/2015,55,35,205,0
1,9/16/2015,55,40,205,0
1,9/16/2015,55,45,205,0
1,9/16/2015,60,0,169,0
1,9/16/2015,60,5,169,0
1,9/16/2015,60,10,169,0
1,9/16/2015,60,15,169,0
1,9/16/2015,60,20,169,0
1,9/16/2015,60,25,169,0
1,9/16/2015,60,30,169,0
1,9/16/2015,60,35,169,0
1,9/16/2015,60,40,169,0
1,9/16/2015,65,45,169,0
